AccumulatedPower,Cadence,Distance,FractionalCadence,HeartRate,LeftRightBalance,Power,Temperature,Timestamp
184974,90,0,0,176,179,246,17,1013616679
185257,89,0,0,176,177,283,17,1013616680
185544,89,0,0,177,180,287,17,1013616681
185873,89,0,0,176,180,329,17,1013616682
186160,90,0,0,176,175,287,17,1013616683
186432,89,0,0,177,177,272,17,1013616684
186681,88,0,0,175,178,249,17,1013616685
186901,87,0,0,175,178,220,17,1013616686
187185,90,0,0,174,178,284,17,1013616687
187402,90,0,0,174,175,217,17,1013616688
187616,88,0,0,175,185,214,17,1013616689
187856,87,0,0,175,178,240,17,1013616690
188106,86,0,0,174,180,250,17,1013616691
188346,88,0,0,174,179,240,17,1013616692
188569,88,0,0,175,178,223,17,1013616693
188826,87,0,0,174,181,257,17,1013616694
189082,88,0,0,174,179,256,17,1013616695
189349,88,0,0,175,177,267,17,1013616696
189625,89,0,0,175,178,276,17,1013616697
189866,90,0,0,174,176,241,17,1013616698
190138,89,0,0,175,181,272,17,1013616699
190409,90,0,0,174,175,271,17,1013616700
190674,90,0,0,174,177,265,17,1013616701
190962,91,0,0,174,176,288,17,1013616702
191253,92,0,0,174,179,291,17,1013616703
191557,93,0,0,174,177,304,17,1013616704
191814,94,0,0,174,180,257,17,1013616705
192080,93,0,0,174,175,266,17,1013616706
192343,93,0,0,174,181,263,17,1013616707
192660,90,0,0,174,181,317,17,1013616708
192973,89,0,0,175,178,313,17,1013616709
193237,89,0,0,175,177,264,17,1013616710
193452,88,0,0,175,178,215,17,1013616711
193713,88,0,0,175,180,261,17,1013616712
193949,92,0,0,175,177,236,17,1013616713
194222,92,0,0,175,177,273,17,1013616714
194483,93,0,0,175,177,261,17,1013616715
194761,93,0,0,176,176,278,17,1013616716
194987,94,0,0,175,177,226,17,1013616717
195272,90,0,0,175,177,285,17,1013616718
195559,89,0,0,175,177,287,17,1013616719
195841,90,0,0,176,178,282,17,1013616720
196140,91,0,0,176,178,299,17,1013616721
196412,91,0,0,176,173,272,17,1013616722
196686,92,0,0,175,176,274,17,1013616723
196944,92,0,0,176,177,258,17,1013616724
197234,92,0,0,176,176,290,17,1013616725
197551,92,0,0,175,174,317,17,1013616726
197840,92,0,0,175,178,289,17,1013616727
198131,92,0,0,175,177,291,17,1013616728
198380,91,0,0,176,172,249,17,1013616729
198556,90,0,0,176,175,176,17,1013616730
198724,87,0,0,175,178,168,17,1013616731
198907,86,0,0,175,182,183,17,1013616732
199178,86,0,0,175,180,271,17,1013616733
199384,88,0,0,175,174,206,17,1013616734
199597,88,0,0,175,179,213,17,1013616735
199815,87,0,0,175,178,218,17,1013616736
200064,87,0,0,175,177,249,17,1013616737
200234,88,0,0,175,175,170,17,1013616738
200484,87,0,0,174,178,250,17,1013616739
200762,88,0,0,175,176,278,17,1013616740
